"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-06-01","92.4","-1.23","6.13","De La Cruz, Elly",682829,592791,"home_run","hit_into_play",,,,,6,"Umpire reviewed (home run), call on the field was upheld: Elly De La Cruz homers (12) on a fly ball to right field. Santiago Espinal scores.","R","L","R","CHC","CIN","X",,"fly_ball",3,2,2025,"-0.43","1.67",0.6046100414176104,2.858108737528874,,,669289,2,6,"Top",,,,,,,5.666413721252003,-134.2684908464597,-6.145374374772423,-6.5424373107205485,32.38405772542729,-10.847366819786732,3.59,1.73,423,"117.4",28,"92.7",2360,"6.8",777687,624512,683737,663538,807713,621020,664023,691718,660644,"53.69",0.996,2.013,"2",1,0,3,6,47,6,"4-Seam Fastball",5,0,0,5,2,5,2,5,"Infield shade","Standard",199,"-0.061","2.201","80.0","7.5",3.981,"-2.201","117.4",5,-5,0.963,0.03700000000000003,33,23,34,23,3,2,6,1,6,1,"1.03","0.43","-0.43","46.3",15.341274017565548,-15.674165681702062,34.381711654611195,32.43683981654064,48.93978437695117
"CH","2025-06-21","88.3","-2.65","5.13","Busch, Michael",683737,676106,"home_run","hit_into_play",,,,,6,"Michael Busch homers (12) on a fly ball to right field. Pete Crow-Armstrong scores. Dansby Swanson scores.","R","L","R","CHC","SEA","X",,"fly_ball",2,2,2025,"-1.26","0.18",0.4904984923518194,2.1951316953361864,,691718,621020,0,3,"Bot",230.93,94.02,,,,,10.219931546905366,-128.2247678847895,-1.4402670810224212,-15.951869591904142,25.408871528670986,-30.051819798695536,3.29,1.52,375,"111.9",26,"88.2",1594,"6.2",777419,663728,456781,702284,810938,641487,668227,677594,670042,"54.27",0.994,2.0032857142857146,"2",1,0,3,6,27,8,"Changeup",6,1,6,1,1,9,9,1,"Standard","Standard",269,"0.035","0.998","78.6","7.6",3.96,"-0.998","111.9",5,5,0.95,0.95,26,27,26,28,2,1,6,1,5,1,"2.74","1.26","-1.26","10.6",24.994119172260824,-14.868757426357767,39.92374475437277,32.07651272266982,40.270062923796075
"FC","2025-06-17","85.5","2.29","5.64","Crow-Armstrong, Pete",691718,642239,"home_run","hit_into_play",,,,,3,"Pete Crow-Armstrong homers (19) on a fly ball to right field.","R","L","L","CHC","MIL","X",,"fly_ball",0,0,2025,"-0.57","0.14",0.33127045440740055,3.0237101173528647,,,,0,8,"Bot",239.41,53.76,,,,,-3.485653448867051,-124.62202142539329,-0.19128685109036636,-5.264329534384321,24.28252078462901,-30.8916138751428,3.11,1.44,452,"111.5",26,"86.1",2531,"6.5",777482,661388,656555,668930,702332,687401,686555,694192,686217,"53.99",1,2,"2",1,0,3,6,66,1,"Cutter",4,3,4,3,3,5,5,3,"Standard","Standard",247,"0.071","1.114","79.4","7.1",4,"-1.114","111.5",1,1,0.867,0.867,33,23,33,23,1,3,3,2,5,2,"2.96","-0.57","-0.57","38.1",21.26757133327444,-11.614130228276718,24.151152946752322,34.14031704131019,40.71335407241359
"FF","2025-06-22","95.7","-1.1","5.73","Suzuki, Seiya",673548,669302,"home_run","hit_into_play",,,,,2,"Seiya Suzuki homers (19) on a line drive to left field.","R","R","R","CHC","SEA","X",,"line_drive",0,0,2025,"-0.91","1.16",0.016230250296964344,2.7730166353938364,,,,2,1,"Bot",33.42,70.83,,,,,5.086469020990784,-139.29875312926632,-4.9267297534147545,-12.92135572059163,30.267090631705937,-16.08729138519198,3.13,1.38,389,"111.2",19,"97.5",2301,"7.2",777403,641598,456781,593871,670156,641487,668227,677594,686527,"53.27",0.756,1.309125,"2",1,0,3,6,8,1,"4-Seam Fastball",0,2,0,2,2,1,1,2,"Standard","Standard",219,"0.094","2.596","78.4","7.5",2.448,"-2.596","111.2",-2,-2,0.313,0.313,28,30,28,31,1,0,6,1,5,1,"1.32","0.91","0.91","32.9",12.957637876488388,-11.02444026963304,25.135264289816114,38.30489316275531,41.31210851007692
"FF","2025-05-17","92.8","2.3","5.55","Elko, Tim",671284,571510,"home_run","hit_into_play",,,,,8,"Tim Elko homers (2) on a fly ball to center field.","R","R","L","CHC","CWS","X",,"fly_ball",3,1,2025,"1.25","1.08",0.2504919331937865,2.0754602051964133,,,,0,5,"Top",157.61,29.63,,,,,-7.957853397900573,-134.78952780039907,-5.421736374332668,16.978007842199048,29.799590708068106,-18.034860786159836,3.49,1.601,425,"111.1",22,"92.6",2307,"6.3",777881,665804,683737,663538,660644,621020,673548,691718,663656,"54.17",0.898,1.7334374999999997,"2",1,0,3,6,37,5,"4-Seam Fastball",4,2,2,4,3,4,3,4,"Standard","Standard",126,"-0.093","0.935","77.0","8.3",3.377,"-0.935","111.1",2,-2,0.731,0.269,34,26,34,27,2,1,6,2,6,1,"1.58","1.25","-1.25","26.6",7.762761401044319,10.124528040865314,35.33514079890975,46.2794331222053,27.30620599694553
"ST","2025-08-02","82.6","0.37","5.95","Henderson, Gunnar",683002,573204,"home_run","hit_into_play",,,,,5,"Gunnar Henderson homers (13) on a fly ball to right center field. Jackson Holliday scores. Jordan Westburg scores.","R","L","L","CHC","BAL","X",,"fly_ball",1,2,2025,"-0.79","0.33",-0.012362127669530376,2.6264856253901256,,702616,676059,2,8,"Top",170.77,44.11,,,,,0.6690663456386544,-120.26398219832951,-1.6523309354401137,-7.7496206055881505,25.188346349191168,-28.913921035992324,3.68,1.71,416,"110.7",23,"82.3",2506,"6.2",776902,624512,683737,650489,807713,663538,664023,691718,663656,"54.26",0.97,1.914833333333333,"2",1,0,3,6,62,4,"Sweeper",3,1,1,3,4,3,4,3,"Standard","Standard",289,"-0.591","1.754","79.9","7.4",3.761,"-1.754","110.7",2,-2,0.887,0.11299999999999999,38,24,38,24,1,3,1,1,2,1,"3.03","-0.79","-0.79","47.1",12.250668769994073,-0.04311423998060172,28.17806601697224,36.426559520146185,38.73429111092794
"CU","2025-07-04","77.8","-2.47","6.59","Crow-Armstrong, Pete",691718,571945,"home_run","hit_into_play",,,,,8,"Pete Crow-Armstrong homers (22) on a fly ball to right center field.","R","L","R","CHC","STL","X",,"fly_ball",1,1,2025,"0.95","-1.12",-0.025177944766488713,1.9428267271904103,,,,2,1,"Bot",190.83,59.24,,,,,3.4840825520796237,-113.23600476063667,-0.906770796481331,7.320556480507255,24.11114827789998,-41.70838065568635,3.16,1.47,397,"110.6",22,"77.2",2470,"6.2",777246,686780,575929,680977,571448,691026,663457,687363,676475,"54.29",0.898,1.7334374999999997,"2",1,0,3,6,7,3,"Curveball",1,0,1,0,0,2,2,0,"Infield shade","Standard",31,"0.093","2.612","77.7","7.4",3.377,"-2.612","110.6",1,1,0.612,0.612,36,23,37,23,1,0,6,1,6,1,"4.93","-0.95","0.95","44.3",15.57925783134203,-4.752038250056657,41.09607825769549,36.58472902156274,40.58129726354062
"FC","2025-06-21","92.4","-2.18","5.71","Crow-Armstrong, Pete",691718,647315,"home_run","hit_into_play",,,,,5,"Pete Crow-Armstrong homers (21) on a fly ball to right field.","R","L","R","CHC","SEA","X",,"fly_ball",1,0,2025,"-0.08","0.54",0.2124567358537528,2.295575084644762,,,,0,5,"Bot",236.26,89.08,,,,,6.267244112727766,-134.4670452744599,-4.108254392817636,-2.1998448029096416,26.38699873592517,-24.984841206102345,3.1,1.43,382,"110.4",22,"92.8",2237,"6.3",777419,663728,456781,702284,810938,641487,668227,677594,670042,"54.21",0.901,1.7367575757575757,"2",1,0,3,6,48,2,"Cutter",9,6,9,6,6,10,10,6,"Strategic","Standard",213,"0.046","1.073","77.5","7.6",3.388,"-1.073","110.4",3,3,0.885,0.885,28,23,29,23,1,2,5,1,2,1,"2.11","0.08","-0.08","27.2",19.670875643235437,-10.82743365862766,31.218830829578838,35.7156896865809,44.933448254125416
"ST","2025-08-06","81.4","2.83","6.1","Suzuki, Seiya",673548,671096,"home_run","hit_into_play",,,,,5,"Seiya Suzuki homers (27) on a line drive to left field.","R","R","L","CHC","CIN","X",,"line_drive",1,2,2025,"-1.17","0.2",0.07188406298441896,2.045566302360778,,,,0,6,"Bot",44.65,68.5,,,,,-3.9213201756554863,-118.56144719511887,-2.8912104151580134,-10.309912092809894,22.208117039303453,-29.967043536974664,3.16,1.39,379,"110.4",20,"81.1",2845,"6",776847,663886,668715,666158,663647,682829,641584,670770,682622,"54.49",0.781,1.3927714285714285,"2",1,0,3,6,42,4,"Sweeper",1,0,1,0,0,2,2,0,"Standard","Standard",283,"0.111","1.184","77.4","7.8",2.639,"-1.184","110.4",1,1,0.734,0.734,26,30,26,31,3,2,6,2,5,2,"3.23","-1.17","1.17","47.1",13.155414156163678,-11.779661581186257,32.92723879696366,38.26113065004563,41.48624802875646
"FS","2025-09-14","84.2","2.59","5.52","Caminero, Junior",691406,684007,"home_run","hit_into_play",,,,,6,"Junior Caminero homers (44) on a fly ball to left center field.","R","R","L","CHC","TB","X",,"fly_ball",1,2,2025,"0.92","0.24",0.4636300932413997,2.2717950587117928,,,,0,1,"Top",78.48,43.75,,,,,-6.737419485024952,-122.59303055681734,-1.7270623221342465,10.487035894211388,20.384095630892833,-29.638213892483627,3.49,1.56,401,"110.2",30,"84.5",1306,"6.1",776321,624512,683737,663538,807713,621020,664023,691718,650489,"54.41",0.972,1.972,"2",1,0,3,6,2,6,"Split-Finger",0,1,1,0,2,0,2,0,"Standard","Standard",122,"-0.096","1.184","84.6","8.6",3.896,"-1.184","110.2",-1,1,0.41,0.5900000000000001,31,21,32,22,1,0,6,1,5,1,"2.93","0.92","-0.92","34.4",2.6910295588343343,-7.137505955854606,21.975855386518553,43.214572806321925,41.925683860380374
